ID,source,location,region,harvest,rhytisma,days,lnpAFDMR
9501,Elwha D,15,Lower Elwha,2,0,38,3.973440801
9 (a),Elwha A,15,Lower Elwha,2,0,38,4.010163687
303,Elwha A,15,Lower Elwha,3,0,46,3.92984884
2271,Elwha D,15,Lower Elwha,3,1,46,3.975651584
3288,Elwha E,15,Lower Elwha,3,0,46,3.78074858
10095,Elwha B,15,Lower Elwha,3,0,46,3.812970636
12 (b),Elwha C,15,Lower Elwha,3,0,46,4.037267613
274,Elwha E,16,Lower Elwha,1,1,15,4.353873207
2146,Elwha C,16,Lower Elwha,1,0,15,4.270913375
3060,Elwha D,16,Lower Elwha,1,1,15,4.149553971
4404,Elwha B,16,Lower Elwha,1,1,15,4.26974444
4813,Elwha A,16,Lower Elwha,1,1,15,4.30170747
1686,Elwha D,16,Lower Elwha,2,0,36,4.152227581
2639,Elwha E,16,Lower Elwha,2,0,36,4.03895105
8669,Elwha B,16,Lower Elwha,2,1,36,4.190633971
8769,Elwha A,16,Lower Elwha,2,0,36,4.014604072
9502,Elwha C,16,Lower Elwha,2,0,36,3.739615722
31,Elwha A,16,Lower Elwha,3,2,44,3.713690668
215,Elwha D,16,Lower Elwha,3,0,44,3.965106392
246,Elwha B,16,Lower Elwha,3,0,44,3.926702792
409,Elwha C,16,Lower Elwha,3,0,44,3.795506955
2827,Elwha E,16,Lower Elwha,3,0,44,3.935670978
11,Elwha C,17,Delta,1,0,15,4.340453123
487,Elwha B,17,Delta,1,0,15,4.340856679
1514,Elwha D,17,Delta,1,0,15,4.382607289
4027,Elwha E,17,Delta,1,0,15,4.393329179
200(a),Elwha A,17,Delta,1,0,15,4.375617449
437,Elwha B,17,Delta,2,0,36,4.351376348
458,Elwha C,17,Delta,2,0,36,4.259210759
1984,Elwha A,17,Delta,2,1,36,4.276212749
5789,Elwha E,17,Delta,2,0,36,4.151245688
11351,Elwha D,17,Delta,2,1,36,4.251739929
321,Elwha A,17,Delta,3,1,43,4.175905948
2231,Elwha C,17,Delta,3,0,43,4.129485804
4109,Elwha D,17,Delta,3,0,43,4.202174109
4747,Elwha E,17,Delta,3,0,43,4.267285903
247,Elwha B,17,Delta,3,0,43,4.138403178
400,Elwha E,18,Delta,1,1,15,4.379289306
4888,Elwha C,18,Delta,1,0,15,4.342499681
8688,Elwha D,18,Delta,1,1,15,4.370748649
11134,Elwha B,18,Delta,1,3,15,2.175484356
11396,Elwha A,18,Delta,1,0,15,4.409095387
240,Elwha C,18,Delta,2,0,36,4.224036271
973,Elwha A,18,Delta,2,0,36,4.3361277
2489,Elwha E,18,Delta,2,0,36,4.082325467
4864,Elwha B,18,Delta,2,0,36,4.24434743
11620,Elwha D,18,Delta,2,0,36,4.239839435
2,Elwha A,18,Delta,3,1,43,4.192824332
79,Elwha C,18,Delta,3,0,43,4.259168591
298,Elwha B,18,Delta,3,1,43,4.208526217
407,Elwha E,18,Delta,3,1,43,4.230488753
445,Elwha D,18,Delta,3,0,43,4.073963867
14,Elwha A,19,Delta,1,0,15,4.37600439
23,Elwha C,19,Delta,1,2,15,4.304877058
36,Elwha E,19,Delta,1,2,15,4.303944643
229,Elwha D,19,Delta,1,1,15,4.3290142
4946,Elwha B,19,Delta,1,0,15,4.325748263
164,Elwha D,19,Delta,2,0,36,4.225420983
285,Elwha C,19,Delta,2,0,36,4.102029392
2223,Elwha E,19,Delta,2,0,36,4.163234889
4683,Elwha B,19,Delta,2,0,36,4.309504294
7628,Elwha A,19,Delta,2,0,36,4.36701567
107,Elwha B,19,Delta,3,0,43,4.287582901
224,Elwha A,19,Delta,3,0,43,4.131688041
231,Elwha D,19,Delta,3,1,43,4.066154858
366,Elwha C,19,Delta,3,1,43,4.196880632
4724,Elwha E,19,Delta,3,3,43,4.08306377
397,Elwha D,20,Delta,1,2,15,4.332732422
1252,Elwha B,20,Delta,1,1,15,4.40862623
1853,Elwha C,20,Delta,1,0,15,4.403668015
4444,Elwha A,20,Delta,1,0,15,4.461405178
10094,Elwha E,20,Delta,1,0,15,4.316080781
318,Elwha C,20,Delta,2,0,36,4.186473326
455,Elwha D,20,Delta,2,0,36,4.159199672
1726,Elwha A,20,Delta,2,0,36,4.202447139
4365,Elwha B,20,Delta,2,1,36,4.244275048
10083,Elwha E,20,Delta,2,0,36,4.129166841
7,Elwha C,20,Delta,3,0,43,4.120981344
17,Elwha B,20,Delta,3,0,43,4.036032915
385,Elwha D,20,Delta,3,0,43,4.037565722
2996,Elwha A,20,Delta,3,0,43,4.124751517
3196,Elwha E,20,Delta,3,2,43,4.144018171
NA,Elwha A,1,Tributary,0,NA,0,4.615120517
NA,Elwha B,1,Tributary,0,NA,0,4.615120517
NA,Elwha C,1,Tributary,0,NA,0,4.615120517
NA,Elwha D,1,Tributary,0,NA,0,4.615120517
NA,Elwha E,1,Tributary,0,NA,0,4.615120517
NA,Elwha A,2,Tributary,0,NA,0,4.615120517
NA,Elwha B,2,Tributary,0,NA,0,4.615120517
NA,Elwha C,2,Tributary,0,NA,0,4.615120517
NA,Elwha D,2,Tributary,0,NA,0,4.615120517
NA,Elwha E,2,Tributary,0,NA,0,4.615120517
NA,Elwha A,3,Tributary,0,NA,0,4.615120517
NA,Elwha B,3,Tributary,0,NA,0,4.615120517
NA,Elwha C,3,Tributary,0,NA,0,4.615120517
NA,Elwha D,3,Tributary,0,NA,0,4.615120517
NA,Elwha E,3,Tributary,0,NA,0,4.615120517
NA,Elwha A,4,Tributary,0,NA,0,4.615120517
NA,Elwha B,4,Tributary,0,NA,0,4.615120517
NA,Elwha C,4,Tributary,0,NA,0,4.615120517
NA,Elwha D,4,Tributary,0,NA,0,4.615120517
NA,Elwha E,4,Tributary,0,NA,0,4.615120517
NA,Elwha A,5,Middle Elwha,0,NA,0,4.615120517
NA,Elwha B,5,Middle Elwha,0,NA,0,4.615120517
NA,Elwha C,5,Middle Elwha,0,NA,0,4.615120517
NA,Elwha D,5,Middle Elwha,0,NA,0,4.615120517
NA,Elwha E,5,Middle Elwha,0,NA,0,4.615120517
NA,Elwha A,6,Middle Elwha,0,NA,0,4.615120517
NA,Elwha B,6,Middle Elwha,0,NA,0,4.615120517
NA,Elwha C,6,Middle Elwha,0,NA,0,4.615120517
NA,Elwha D,6,Middle Elwha,0,NA,0,4.615120517
NA,Elwha E,6,Middle Elwha,0,NA,0,4.615120517
NA,Elwha A,7,Middle Elwha,0,NA,0,4.615120517
NA,Elwha B,7,Middle Elwha,0,NA,0,4.615120517
NA,Elwha C,7,Middle Elwha,0,NA,0,4.615120517
NA,Elwha D,7,Middle Elwha,0,NA,0,4.615120517
NA,Elwha E,7,Middle Elwha,0,NA,0,4.615120517
NA,Elwha A,8,Middle Elwha,0,NA,0,4.615120517
NA,Elwha B,8,Middle Elwha,0,NA,0,4.615120517
NA,Elwha C,8,Middle Elwha,0,NA,0,4.615120517
NA,Elwha D,8,Middle Elwha,0,NA,0,4.615120517
NA,Elwha E,8,Middle Elwha,0,NA,0,4.615120517
NA,Elwha A,9,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha B,9,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha C,9,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha D,9,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha E,9,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha A,10,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha B,10,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha C,10,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha D,10,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha E,10,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha A,11,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha B,11,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha C,11,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha D,11,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha E,11,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha A,12,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha B,12,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha C,12,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha D,12,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha E,12,Aldwell Reservoir,0,NA,0,4.615120517
NA,Elwha A,13,Lower Elwha,0,NA,0,4.615120517
NA,Elwha B,13,Lower Elwha,0,NA,0,4.615120517
NA,Elwha C,13,Lower Elwha,0,NA,0,4.615120517
NA,Elwha D,13,Lower Elwha,0,NA,0,4.615120517
NA,Elwha E,13,Lower Elwha,0,NA,0,4.615120517
NA,Elwha A,14,Lower Elwha,0,NA,0,4.615120517
NA,Elwha B,14,Lower Elwha,0,NA,0,4.615120517
NA,Elwha C,14,Lower Elwha,0,NA,0,4.615120517
NA,Elwha D,14,Lower Elwha,0,NA,0,4.615120517
NA,Elwha E,14,Lower Elwha,0,NA,0,4.615120517
NA,Elwha A,15,Lower Elwha,0,NA,0,4.615120517
NA,Elwha B,15,Lower Elwha,0,NA,0,4.615120517
NA,Elwha C,15,Lower Elwha,0,NA,0,4.615120517
NA,Elwha D,15,Lower Elwha,0,NA,0,4.615120517
NA,Elwha E,15,Lower Elwha,0,NA,0,4.615120517
NA,Elwha A,16,Lower Elwha,0,NA,0,4.615120517
NA,Elwha B,16,Lower Elwha,0,NA,0,4.615120517
NA,Elwha C,16,Lower Elwha,0,NA,0,4.615120517
NA,Elwha D,16,Lower Elwha,0,NA,0,4.615120517
NA,Elwha E,16,Lower Elwha,0,NA,0,4.615120517
NA,Elwha A,17,Delta,0,NA,0,4.615120517
NA,Elwha B,17,Delta,0,NA,0,4.615120517
NA,Elwha C,17,Delta,0,NA,0,4.615120517
NA,Elwha D,17,Delta,0,NA,0,4.615120517
NA,Elwha E,17,Delta,0,NA,0,4.615120517
NA,Elwha A,18,Delta,0,NA,0,4.615120517
NA,Elwha B,18,Delta,0,NA,0,4.615120517
NA,Elwha C,18,Delta,0,NA,0,4.615120517
NA,Elwha D,18,Delta,0,NA,0,4.615120517
NA,Elwha E,18,Delta,0,NA,0,4.615120517
NA,Elwha A,19,Delta,0,NA,0,4.615120517
NA,Elwha B,19,Delta,0,NA,0,4.615120517
NA,Elwha C,19,Delta,0,NA,0,4.615120517
NA,Elwha D,19,Delta,0,NA,0,4.615120517
NA,Elwha E,19,Delta,0,NA,0,4.615120517
NA,Elwha A,20,Delta,0,NA,0,4.615120517
NA,Elwha B,20,Delta,0,NA,0,4.615120517
NA,Elwha C,20,Delta,0,NA,0,4.615120517
NA,Elwha D,20,Delta,0,NA,0,4.615120517
NA,Elwha E,20,Delta,0,NA,0,4.615120517
